Unnamed: 0,카페이름,유사한 스타일,유사도
27,앤드밀 성수점,"['레트로', '미니멀', '시티보이', '로맨틱', '스포티', '워크웨어', '스트릿', '고프코어', '시크', '클래식', '걸리시', '캐주얼']","[0.2886751345948129, 0.2886751345948129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,Pauline CoffeeBar,"['캐주얼', '미니멀', '로맨틱', '레트로', '시티보이', '걸리시', '클래식', '워크웨어', '고프코어', '스트릿', '시크', '스포티']","[0.3499271061118826, 0.25197631533948484, 0.20701966780270628, 0.18898223650461363, 0.1315903389919538, 0.1315903389919538, 0.12598815766974242, 0.07273929674533079, 0.07273929674533079, 0.06900655593423542, 0.0657951694959769, 0.0]"
29,카페시벳,"['미니멀', '캐주얼', '시티보이', '걸리시', '레트로', '고프코어', '스트릿', '클래식', '로맨틱', '스포티', '워크웨어', '시크']","[0.2611164839335468, 0.24174688920761409, 0.18181818181818182, 0.18181818181818182, 0.17407765595569785, 0.10050378152592121, 0.09534625892455924, 0.08703882797784893, 0.0, 0.0, 0.0, 0.0]"
30,오프커피 성수,"['걸리시', '시티보이', '미니멀', '캐주얼', '스포티', '스트릿', '레트로', '클래식', '로맨틱', '워크웨어', '고프코어', '시크']","[0.27272727272727276, 0.18181818181818182, 0.17407765595569785, 0.16116459280507606, 0.10050378152592121, 0.09534625892455924, 0.08703882797784893, 0.08703882797784893, 0.0, 0.0, 0.0, 0.0]"
31,성수동대림창고갤러리,"['레트로', '미니멀', '캐주얼', '스트릿', '시크', '걸리시', '로맨틱', '시티보이', '클래식', '스포티', '워크웨어', '고프코어']","[0.3500700210070025, 0.3500700210070025, 0.25928148942086576, 0.1533929977694741, 0.14625448482542613, 0.14625448482542613, 0.07669649888473705, 0.07312724241271307, 0.0700140042014005, 0.0, 0.0, 0.0]"
32,스테치 성수,"['레트로', '미니멀', '캐주얼', '로맨틱', '스트릿', '워크웨어', '시티보이', '시크', '걸리시', '클래식', '스포티', '고프코어']","[0.29814239699997197, 0.29814239699997197, 0.2760262237369417, 0.2449489742783178, 0.2449489742783178, 0.08606629658238703, 0.0778498944161523, 0.0778498944161523, 0.0778498944161523, 0.07453559924999299, 0.0, 0.0]"
33,퓨엘커피,"['미니멀', '레트로', '캐주얼', '스트릿', '걸리시', '시티보이', '로맨틱', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.38729833462074176, 0.25819888974716115, 0.23904572186687872, 0.1414213562373095, 0.13483997249264842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,커피사피엔스 성수우림점,"['캐주얼', '스트릿', '걸리시', '레트로', '미니멀', '시티보이', '로맨틱', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.3086066999241839, 0.1825741858350554, 0.17407765595569785, 0.1666666666666667, 0.1666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,유니드카페,"['캐주얼', '스트릿', '레트로', '클래식', '미니멀', '스포티', '로맨틱', '시티보이', '워크웨어', '고프코어', '시크', '걸리시']","[0.40291148201269017, 0.19069251784911848, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.10050378152592121, 0.09534625892455924, 0.09090909090909091, 0.0, 0.0, 0.0, 0.0]"
36,도렐 성수점,"['캐주얼', '미니멀', '스트릿', '레트로', '로맨틱', '시크', '걸리시', '클래식', '워크웨어', '시티보이', '스포티', '고프코어']","[0.3840122885898555, 0.31108550841912763, 0.22718473369882594, 0.20739033894608508, 0.11359236684941297, 0.10830607221477648, 0.10830607221477648, 0.10369516947304254, 0.05986843400892497, 0.05415303610738824, 0.0, 0.0]"
