상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220810314567,프레이커피바,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,204,2,서울특별시 성동구 성수동2가 204-2,1.12E+11,서울특별시 성동구 성덕정길,152,,1.12E+24,,서울특별시 성동구 성덕정길 152,133826,4777,,1,,127.0601783,37.53628319
MA010120220810303848,더하나누,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,328,55,서울특별시 성동구 성수동2가 328-55,1.12E+11,서울특별시 성동구 뚝섬로,417,,1.12E+24,예진빌딩,서울특별시 성동구 뚝섬로 417,133827,4784,,1,,127.0569939,37.53846538
MA010120220810267576,아크밸리서비스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,277,43,서울특별시 성동구 성수동2가 277-43,1.12E+11,서울특별시 성동구 성수이로22길,37,,1.12E+24,성수동아크벨리,서울특별시 성동구 성수이로22길 37,133832,4798,,1,,127.0612934,37.54391495
MA010120220810431803,러프러프,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,271,24,서울특별시 성동구 성수동2가 271-24,1.12E+11,서울특별시 성동구 연무장길,81,,1.12E+24,남경빌딩,서울특별시 성동구 연무장길 81,133831,4783,,,,127.0582551,37.54165616
MA010120220810584726,얌커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,279,50,서울특별시 성동구 성수동2가 279-50,1.12E+11,서울특별시 성동구 동일로,143,,1.12E+24,성수1차대우아파트,서울특별시 성동구 동일로 143,133832,4799,,1,,127.0653257,37.54542466
MA010120220810575059,스펑크커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,264,6,서울특별시 성동구 성수동2가 264-6,1.12E+11,서울특별시 성동구 성덕정19길,23,,1.12E+24,,서울특별시 성동구 성덕정19길 23,133826,4777,,1,,127.0578742,37.53775157
MA010120220811481089,스트랏,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,315,107,서울특별시 성동구 성수동2가 315-107,1.12E+11,서울특별시 성동구 성수이로,93,,1.12E+24,충무전자,서울특별시 성동구 성수이로 93,133835,4782,,1,,127.0565468,37.54341759
MA010120220811368660,오프커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,316,5,서울특별시 성동구 성수동2가 316-5,1.12E+11,서울특별시 성동구 연무장길,29,17,1.12E+24,,서울특별시 성동구 연무장길 29-17,133835,4782,,1,,127.052663,37.54360275
MA010120220811758296,카페엘든,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,236,101,서울특별시 성동구 성수동2가 236-101,1.12E+11,서울특별시 성동구 뚝섬로15길,28,,1.12E+24,,서울특별시 성동구 뚝섬로15길 28,133826,4786,,1,,127.0615027,37.53895183
MA010120220811782842,크레송,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,835,,서울특별시 성동구 성수동2가 835,1.12E+11,서울특별시 성동구 성수일로8길,47,,1.12E+24,성수동롯데캐슬파크,서울특별시 성동구 성수일로8길 47,133725,4794,,,,127.0555765,37.54677976
MA010120220811878847,업.사이드,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,273,47,서울특별시 성동구 성수동2가 273-47,1.12E+11,서울특별시 성동구 연무장13길,3,,1.12E+24,,서울특별시 성동구 연무장13길 3,133831,4783,,1,,127.0579113,37.54199581
MA010120220812165247,커피나인컴퍼니,,I2,음식,I212,비알코올 ,I21201,카페,M71531,경영 컨설팅업,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,273,19,서울특별시 성동구 성수동2가 273-19,1.12E+11,서울특별시 성동구 연무장13길,9,,1.12E+24,아이템플,서울특별시 성동구 연무장13길 9,133831,4783,,,,127.0581983,37.54257477
MA010120220812133707,"카페,바로",,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,279,44,서울특별시 성동구 성수동2가 279-44,1.12E+11,서울특별시 성동구 동일로,133,,1.12E+24,,서울특별시 성동구 동일로 133,133832,4799,,1,,127.0648973,37.54439407
